module,type,name,res_id,src,value,comments
hubi,model,"ir.model.fields,field_description",hubi.field_account_invoice_discount_type,Discount Type,Remise Type,
hubi,model,"ir.ui.view,arch_db",hubi.hubi_account_invoice_form_view,Discount Type :,Remise Type :,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_department_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_family_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_general_settings_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_labelmodel_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_module_option_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_palletization_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_palletization_line_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_parameter_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_payment_mode_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_printer_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_printing_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_product_category_caliber_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_product_customer_description_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_hubi_shipper_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_sale_report_carrier_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_confirm_dialog_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_create_print_label_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_create_product_from_category_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_creditnote_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_general_settings_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_invoiceperiod_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_prepare_creditnote_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_print_label_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_print_label_sale_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_productprice_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_sale_order_print_label_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_search_product_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_search_product_line_display_name,Display Name,Nom à afficher,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_transfertcompta_display_name,Display Name,Nom à afficher,
hubi,model,"ir.ui.menu,name",hubi.menu_hubi_sales_documents,Documents,Documents,
hubi,model,"ir.ui.view,arch_db",hubi.view_hubi_packing_preparation_tree,Done,Fait,
hubi,model,"ir.ui.view,arch_db",hubi.send_email_invoice_search,Draft,Brouillon,
hubi,model,"ir.ui.view,arch_db",hubi.report_invoice_document_hubi,Draft Invoice,Facture en brouillon,
hubi,model,"ir.ui.view,arch_db",hubi.view_hubi_invoice_report_search,Draft Invoices,Factures en brouillon,
hubi,selection,"sale.report.carrier,state",0,Draft Quotation,Bon de Commande en brouillon,
hubi,model,"ir.ui.view,arch_db",hubi.send_email_invoice_search,Due Date,Date d'échéance,
hubi,model,"ir.model,name",hubi.model_hubi_department,Départment,Départment,
hubi,model,"ir.ui.view,arch_db",hubi.pricelist_hubi_form_view,EAN 13,EAN 13,
hubi,model,"ir.ui.view,arch_db",hubi.report_product_sheet_price,EAN 13,EAN 13,
hubi,model,"ir.model.fields,field_description",hubi.field_res_partner_code_ean,EAN Code,EAN Code,
hubi,model,"ir.model.fields,field_description",hubi.field_res_users_code_ean,EAN Code,EAN Code,
hubi,model,"ir.model.fields,field_description",hubi.field_res_partner_ean128,EAN128,EAN128,
hubi,model,"ir.model.fields,field_description",hubi.field_res_users_ean128,EAN128,EAN128,
hubi,model,"ir.ui.view,arch_db",hubi.pricelist_item_hubi_form_view,EAN13,EAN13,
hubi,selection,"hubi.general_settings,type_accounting",0,EBP,EBP,
hubi,selection,"wiz.general_settings,type_accounting",0,EBP,EBP,
hubi,model,"ir.ui.view,arch_db",hubi.view_partner_customer,EDI,EDI,
hubi,model,"ir.model.fields,field_description",hubi.field_res_partner_edi_invoice,EDI Invoice,EDI Facture,
hubi,model,"ir.model.fields,field_description",hubi.field_res_users_edi_invoice,EDI Invoice,EDI Facture,
hubi,model,"ir.ui.view,arch_db",hubi.view_partner_customer,EDI Invoice,EDI Facture,
hubi,model,"ir.model.fields,field_description",hubi.field_res_partner_edi_invoice_prod,EDI Invoice Production,EDI Facture Production,
hubi,model,"ir.model.fields,field_description",hubi.field_res_users_edi_invoice_prod,EDI Invoice Production,EDI Facture Production,
hubi,model,"ir.ui.view,arch_db",hubi.view_partner_customer,EDI Shipper,EDI Transporteur,
hubi,model,"ir.model.fields,field_description",hubi.field_res_partner_edi_transport_recipient,EDI Transport Recipient,EDI Transporteur Destinataire,
hubi,model,"ir.model.fields,field_description",hubi.field_res_users_edi_transport_recipient,EDI Transport Recipient,EDI Transporteur Destinataire,
hubi,model,"ir.actions.act_window,help",hubi.action_hubi_product_pricelist,"Each rule include a set of applicability criteria (date range,
                product category...) and a computation that easily helps to achieve
                any kind of pricing.","Chaque règle inclus un ensemble de critères d'applicabilité (plages de dates,
catégorie de produits,...) et le calcul qui aide facilement à atteindre
n'importe quel prix.",
hubi,model,"ir.model.fields,field_description",hubi.field_res_partner_edit_price_kg,Edit price kg,Edition prix kg,
hubi,model,"ir.model.fields,field_description",hubi.field_res_users_edit_price_kg,Edit price kg,Edition prix kg,
hubi,model,"ir.model.fields,field_description",hubi.field_res_partner_edit_weight,Edit weight,Edition poids,
hubi,model,"ir.model.fields,field_description",hubi.field_res_users_edit_weight,Edit weight,Edition poids,
hubi,model,"ir.ui.view,arch_db",hubi.view_partner_customer,Email,Courriel,
hubi,model,"ir.actions.server,name",hubi.action_email_invoice_send_server,Email: Send email,Email: Send email,
hubi,model,"ir.actions.server,name",hubi.action_email_sale_order_send_server,Email: Send email,Email: Send email,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_invoiceperiod_date_end,End Date,Date de fin,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_prepare_creditnote_date_end,End Date,Date de fin,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_productprice_date_end,End Date,Date de fin,
hubi,model,"ir.model.fields,field_description",hubi.field_wiz_transfertcompta_date_end,End Date,Date de fin,
hubi,code,addons/hubi/reports/trial_balance_xlsx.py,38,Ending balance,Fin balance,
hubi,code,addons/hubi/reports/trial_balance_xlsx.py,58,Ending balance,Fin balance,
hubi,model,"ir.model.fields,help",hubi.field_wiz_productprice_date_end,Ending valid for the pricelist item validation,Fin de validité pour cet élément de la liste de prix,
hubi,model,"ir.model.fields,help",hubi.field_wiz_prepare_creditnote_date_end,Ending valid for the the creation of credit-note,Fin de validité pour la création des avoirs,
hubi,model,"ir.model.fields,help",hubi.field_wiz_invoiceperiod_date_end,Ending valid for the the creation of invoices,Fin de validité pour la création des factures,
hubi,model,"ir.model.fields,help",hubi.field_wiz_transfertcompta_date_end,Ending valid for the the creation of invoices,Fin de validité pour la création des factures,
hubi,model,"ir.actions.act_window,name",hubi.action_hubi_partner_establishment,Establishment,Etablissement,
hubi,model,"ir.ui.menu,name",hubi.menu_hubi_establishments,Establishment,Etablissement,
hubi,model,"ir.ui.view,arch_db",hubi.view_partner_establishment,Establishment,Etablissement,
hubi,model,"ir.model.fields,field_description",hubi.field_product_product_etiq_description,Etiq Description,Etiquette Description,
hubi,model,"ir.model.fields,field_description",hubi.field_product_template_etiq_description,Etiq Description,Etiquette Description,
hubi,model,"ir.model.fields,field_description",hubi.field_product_pricelist_item_etiq_format,Etiq Format,Etiquette Format,
hubi,model,"ir.model.fields,field_description",hubi.field_product_product_etiq_format,Etiq Format,Etiquette Format,
hubi,model,"ir.model.fields,field_description",hubi.field_product_template_etiq_format,Etiq Format,Etiquette Format,
hubi,model,"ir.model.fields,field_description",hubi.field_product_product_etiq_latin,Etiq Latin,Etiquette Latin,
hubi,model,"ir.model.fields,field_description",hubi.field_product_template_etiq_latin,Etiq Latin,Etiquette Latin,
hubi,model,"ir.model.fields,field_description",hubi.field_product_product_etiq_marenne_oleron,Etiq Marenne Oleron,Etiquette Marenne Oleron,
